    x          z
   19.6104   -5.2136
   19.7782   -5.3529
   19.6897   -5.1489
   19.7098   -5.5191
   19.7736   -4.8353
   19.8964   -4.5960
   20.1260   -4.5074
   19.8641   -4.3954
   19.7588   -4.7367
   19.7202   -4.6098
   19.7924   -5.1106
   19.5840   -4.9046
   19.9454   -4.8298
   20.0122   -4.6717
   20.2979   -4.5191
   20.4146   -4.5866
   20.8013   -4.4682
   20.7796   -4.4944
   21.0431   -4.7980
   21.1653   -4.8461
   21.1984   -4.9756
   21.6569   -4.6396
   21.6934   -4.2935
   22.0544   -4.2197
   21.9249   -4.4023
   22.1067   -4.4447
   22.4203   -4.3950
   22.6817   -4.5630
   22.8112   -4.6595
   22.4745   -4.3725
  -17.2012  -10.1656
  -17.0446  -10.3361
  -17.3535  -10.5982
  -17.2576  -10.3739
  -17.0365  -10.4157
  -17.0310  -10.2669
  -17.2361   -9.6646
  -16.5042   -9.7285
  -16.4537   -9.2842
  -16.5336   -8.9563
  -16.0886   -8.7976
  -15.9545   -8.5107
  -16.0250   -8.8569
  -15.6132   -8.6821
  -15.4541   -8.4816
  -15.0813   -8.7117
  -15.0416   -8.7082
  -14.7116   -8.8874
  -14.8502   -9.2527
  -14.8057   -9.6092
  -14.8510   -9.7131
  -14.5446   -9.6720
  -14.5680   -9.5414
  -14.2339   -9.7418
  -13.8060   -9.7225
  -13.6755   -9.3176
  -13.6524   -9.2388
  -13.5460   -9.1282
  -13.4361   -8.9148
  -13.4334   -8.7585
